,A,NKE,PKI,HOG,MSI,ED,PRU,MCHP,HBI,RF,ETR,IFF,KR,COP,PFG,ZBH,VTR,URBN,BWA,A,EXPD,APD,MAC,DISCK,YUM,MHK,ZION,MOS,PYPL,JPM,ETFC,NAVI,ROP,AMGN,GD,LMT,CVS,AEE,AMG,BF-B,MU,SWN,JNPR,FITB,CLX,CBOE,AIV,XLNX,IRM,WFC,REGN,BAC,FOXA,TWX,COTY,SYY,ORLY,MSI,MAA,MNK,ADS,SHW,NI,STX,EQR,CME,WMT,BBBY,IPG,HIG,BBT,IR,TDG,KMX,HD,SYY,FLIR,EVHC,NVDA,BEN,FLS,PFE,TGNA,DLPH,MAR,CHD,LNC,CF,BBBY,PYPL,AES,ZTS,UHS,PFE,PAYX,URI,REG,CCL,DNB,L
capitalExpenditures,-176000000,-1105000000.0,-39089000.0,-206294000.0,-227000000,,,-206800000.0,-87008000.0,,-3729551000.0,-128973000,-2809000000.0,-4591000000,-164800000.0,-493000000.0,-811875000.0,-83813000.0,-560000000.0,-176000000,-95016000.0,-1039700000,-160343000.0,-135000000.0,-318000000.0,-905998000.0,-169000000.0,-820100000.0,-667000000.0,,-102000000.0,,-48752000.0,-664000000.0,-428000000.0,-1177000000.0,-1918000000,-2132000000.0,-18500000.0,-112000000.0,-4734000000.0,-1268000000.0,-151200000.0,-231000000.0,-231000000.0,-37500000.0,-378476000.0,-49918000.0,-343131000.0,,-272626000.0,,-377000000,-656000000.0,-432300000.0,-686378000.0,-465940000.0,-227000000,-136065000.0,-186100000.0,-225400000.0,-222767000,-1695800000.0,-434000000.0,-946889000.0,-81900000.0,-10051000000.0,-375793000.0,-155900000.0,-250000000.0,,-221300000.0,-71013000.0,-296816000.0,-1897000000.0,-686378000.0,-42109000.0,-208900000.0,-593000000.0,-74900000.0,-61602000.0,-1956000000,-76886000.0,-197000000.0,-240000000.0,-45000000.0,,-473000000.0,-375793000.0,-667000000.0,-2177000000,-224000000.0,-580384000.0,-1956000000,-94300000.0,-1889000000.0,-352697000.0,-2944000000,-8400000.0,-1031000000.0
changeInCash,389000000,670000000.0,-157131000.0,-72463000.0,238000000,21000000.0,363000000.0,-7400000.0,-38679000.0,-1470000000.0,-163117000.0,44054000,25000000.0,2715000000,-248800000.0,-109700000.0,-205664000.0,34080000.0,101600000.0,389000000,76664000.0,1942800000,-3008000.0,7009000000.0,768000000.0,-36781000.0,-189000000.0,1483000000.0,1293000000.0,1954000000.0,-1019000000.0,265000000.0,-85873000.0,559000000.0,649000000.0,1024000000.0,-1675000000,1000000.0,8700000.0,-81000000.0,953000000.0,-507000000.0,173300000.0,122000000.0,17000000.0,46200000.0,15542000.0,1212633000.0,689215000.0,2638000000.0,277530000.0,9696000000.0,1724000000,1082000000.0,198300000.0,-3049849000.0,-100250000.0,238000000,-22786000.0,918000000.0,2330800000.0,-685580000,2400000.0,1411000000.0,-118326000.0,35000000.0,-111000000.0,-142189000.0,-302500000.0,-165000000.0,-1223000000.0,-165300000.0,-936433000.0,6109000.0,933000000.0,-3049849000.0,157741000.0,-19400000.0,2236000000.0,266400000.0,336283000.0,-1254000000,21881000.0,237000000.0,-475000000.0,91100000.0,-1094000000.0,-329000000.0,-142189000.0,1293000000.0,-295000000,837000000.0,40676000.0,-1254000000,53100000.0,40000000.0,32114000.0,-208000000,89800000.0,145000000.0
changeToAccountReceivables,-81000000,-426000000.0,-36633000.0,,-60000000,-50000000.0,,-85300000.0,-31656000.0,-405000000.0,-104310000.0,-68851000,61000000.0,-886000000,-144200000.0,176500000.0,,-21744000.0,-167900000.0,-81000000,-184771000.0,51100000,-20490000.0,-258000000.0,-19000000.0,-60566000.0,,-91200000.0,-1296000000.0,-15868000000.0,-2474000000.0,-29000000.0,-20166000.0,-58000000.0,-1182000000.0,-401000000.0,941000000,-53000000.0,-53500000.0,6000000.0,-1651000000.0,-65000000.0,203800000.0,,-1000000.0,-20600000.0,-13375000.0,-128229000.0,-89653000.0,,-362720000.0,,-401000000,-704000000.0,-279800000.0,20452000.0,-27742000.0,-60000000,,-16200000.0,-10300000.0,-49850000,-52300000.0,122000000.0,,6000000.0,-1074000000.0,,-127900000.0,-935000000.0,,-156700000.0,-54669000.0,-1058152000.0,139000000.0,20452000.0,-7758000.0,-5455500000.0,-440000000.0,-161000000.0,60216000.0,259000000,14541000.0,-271000000.0,,-9700000.0,146000000.0,-57000000.0,,-1296000000.0,-177000000,-50000000.0,-24719000.0,259000000,-103500000.0,-184000000.0,-26081000.0,6000000,-34200000.0,93000000.0
changeToInventory,-61000000,-231000000.0,-17923000.0,,-46000000,5000000.0,,-59200000.0,22648000.0,,38210000.0,-18911000,-23000000.0,-55000000,,-122800000.0,,-8644000.0,-84500000.0,-61000000,,6400000,,,3000000.0,-153245000.0,,-155700000.0,,,,,-15363000.0,133000000.0,-182000000.0,183000000.0,514000000,17000000.0,,-86000000.0,50000000.0,,,,-19000000.0,,,-9176000.0,,,-314195000.0,,-991000000,-9574000000.0,162300000.0,-113647000.0,-231802000.0,-46000000,,-23600000.0,,-89959000,19000000.0,-114000000.0,,,-140000000.0,176672000.0,,,,-112400000.0,5127000.0,-130131000.0,-84000000.0,-113647000.0,-32961000.0,1000000.0,,,48642000.0,-357000000,,-124000000.0,,-25200000.0,,40000000.0,176672000.0,,-28000000,19000000.0,,-357000000,,1000000.0,,-49000000,,
changeToLiabilities,40000000,-364000000.0,16895000.0,,160000000,-2216000000.0,9321000000.0,395000000.0,202299000.0,110000000.0,195533000.0,90995000,-978000000.0,887000000,3132400000.0,2000000.0,-24191000.0,45516000.0,190000000.0,40000000,130895000.0,163800000,-15624000.0,265000000.0,-228000000.0,36038000.0,29000000.0,-46300000.0,1720000000.0,-43427000000.0,1883000000.0,6000000.0,-108757000.0,7859000000.0,921000000.0,-107000000.0,1377000000,59000000.0,52300000.0,-28000000.0,782000000.0,50000000.0,448100000.0,-116000000.0,-22000000.0,-68200000.0,-15794000.0,569007000.0,-181000.0,4837000000.0,-136287000.0,4673000000.0,152000000,624000000.0,1066300000.0,201134000.0,275957000.0,160000000,,-60000000.0,115500000.0,141575000,-368500000.0,221000000.0,-14847000.0,-8800000.0,4457000000.0,54154000.0,70600000.0,1047000000.0,,395400000.0,-26246000.0,-43864000.0,509000000.0,201134000.0,108176000.0,-12100000.0,604000000.0,145200000.0,-34411000.0,-21000000,-68615000.0,201000000.0,,19100000.0,-1720000000.0,856000000.0,54154000.0,1720000000.0,327000000,-67000000.0,103300000.0,-21000000,39100000.0,211000000.0,-2114000.0,455000000,-75100000.0,136000000.0
changeToNetincome,193000000,-175000000.0,-76597000.0,,1247000000,406000000.0,578000000.0,170800000.0,295998000.0,155000000.0,1999380000.0,-22243000,229000000.0,648000000,-590900000.0,-1358000000.0,-762356000.0,38293000.0,434000000.0,193000000,8187000.0,-1400900000,-102589000.0,1597000000.0,-436000000.0,2119000.0,149000000.0,665400000.0,512000000.0,8380000000.0,297000000.0,381000000.0,73682000.0,-667000000.0,524000000.0,3319000000.0,-679000000,522000000.0,68100000.0,6000000.0,235000000.0,-421000000.0,33400000.0,-1301000000.0,54000000.0,-167900000.0,-295621000.0,-191288000.0,103440000.0,-41780000000.0,889667000.0,-4421000000.0,1128000000,144000000.0,-265600000.0,59413000.0,26598000.0,1247000000,-116837000.0,-2026600000.0,1101400000.0,-347663000,452400000.0,209000000.0,-128168000.0,-2415400000.0,4042000000.0,245792000.0,47400000.0,3893000000.0,1072000000.0,-23500000.0,116067000.0,344524000.0,273000000.0,59413000.0,49318000.0,6040800000.0,68000000.0,-46000000.0,29910000.0,-12452000000,72519000.0,60000000.0,693000000.0,-188100000.0,1265000000.0,-474000000.0,245792000.0,512000000.0,2163000000,271000000.0,56738000.0,-12452000000,57600000.0,-516000000.0,6073000.0,471000000,118900000.0,126000000.0
changeToOperatingActivities,-98000000,-120000000.0,,,-143000000,2480000000.0,-4650000000.0,14000000.0,-28346000.0,139000000.0,-688902000.0,-3866000,-201000000.0,69000000,-964100000.0,8500000.0,-15854000.0,12967000.0,-82400000.0,-98000000,-5365000.0,2680600000,-4414000.0,-1902000000.0,117000000.0,-52115000.0,-118000000.0,-23700000.0,-1005000000.0,17794000000.0,539000000.0,484000000.0,-18878000.0,-24000000.0,405000000.0,285000000.0,338000000,56000000.0,-11900000.0,14000000.0,-339000000.0,-26000000.0,43000000.0,-23000000.0,-5000000.0,34700000.0,,-31970000.0,-12117000.0,-5533000000.0,-113331000.0,-12435000000.0,25000000,-496000000.0,-82300000.0,-67274000.0,-9844000.0,-143000000,-49916000.0,-89000000.0,72700000.0,-97395000,-14600000.0,-43000000.0,1936000.0,-13300000.0,,-354894000.0,51800000.0,-504000000.0,-135000000.0,-206800000.0,-10564000.0,-36981000.0,502000000.0,-67274000.0,13244000.0,,21000000.0,-744800000.0,83927000.0,1415000000,16213000.0,49000000.0,81000000.0,16600000.0,-982000000.0,-67000000.0,-354894000.0,-1005000000.0,-188000000,69000000.0,-171933000.0,1415000000,-49500000.0,-20000000.0,-6278000.0,-13000000,14300000.0,-11000000.0
depreciation,212000000,716000000.0,113780000.0,,343000000,1217000000.0,222000000.0,728900000.0,132881000.0,537000000.0,2123291000.0,117967000,2436000000.0,7207000000,430300000.0,1062700000.0,883469000.0,128408000.0,407800000.0,212000000,49310000.0,865800000,367833000.0,2240000000.0,253000000.0,446672000.0,179000000.0,691200000.0,805000000.0,6179000000.0,262000000.0,23000000.0,352192000.0,1955000000.0,441000000.0,1195000000.0,2479000000,974000000.0,106700000.0,58000000.0,3986000000.0,513000000.0,225600000.0,341000000.0,163000000.0,195800000.0,371850000.0,99302000.0,537338000.0,5406000000.0,145467000.0,4354000000.0,618000000,9856000000.0,555100000.0,933844000.0,236716000.0,343000000,484730000.0,808300000.0,541600000.0,554998000,577700000.0,749000000.0,778486000.0,208500000.0,10529000000.0,313107000.0,244900000.0,1816000000.0,550000000.0,353300000.0,162131000.0,179942000.0,2062000000.0,933844000.0,71010000.0,434000000.0,202000000.0,152300000.0,118454000.0,6269000000,136507000.0,189000000.0,290000000.0,125400000.0,-23000000.0,883000000.0,313107000.0,805000000.0,1169000000,242000000.0,447883000.0,6269000000,199400000.0,1392000000.0,320566000.0,1846000000,117600000.0,834000000.0
dividendsPaid,-170000000,-1133000000.0,-30793000.0,-251862000.0,-308000000,-804000000.0,-1296000000.0,-337500000.0,-219903000.0,-410000000.0,-632624000.0,-206118000,-443000000.0,-1305000000,-540000000.0,-193600000.0,-844149000.0,,-153400000.0,-170000000,-151399000.0,-787900000,-547591000.0,,-416000000.0,,-129000000.0,-210600000.0,,-8993000000.0,-25000000.0,-176000000.0,-142753000.0,-3365000000.0,-986000000.0,-2163000000.0,-2049000000,-437000000.0,-397100000.0,-274000000.0,,-16000000.0,-150400000.0,-505000000.0,-412000000.0,-118100000.0,-260770000.0,-353053000.0,-439999000.0,-9109000000.0,,-5700000000.0,-943000000,-1265000000.0,-424700000.0,-698647000.0,,-308000000,-413636000.0,,-115500000.0,-319029000,-229100000.0,-561000000.0,-778043000.0,-1993500000.0,-6814000000.0,-80877000.0,-300700000.0,-341000000.0,-1179000000.0,-445900000.0,-2581552000.0,,-4212000000.0,-698647000.0,-82605000.0,,-341000000.0,-441200000.0,-99233000.0,-7659000000,-113150000.0,,-482000000.0,-190400000.0,-262000000.0,-411000000.0,-80877000.0,,-741000000,-206000000.0,-62924000.0,-7659000000,-662300000.0,,-328314000.0,-1087000000,-74200000.0,-223000000.0
effectOfExchangeRate,7000000,-20000000.0,21552000.0,26747000.0,62000000,,110000000.0,,-4116000.0,,,-4214000,,232000000,,29300000.0,312000.0,11627000.0,36100000.0,7000000,24275000.0,13400000,,62000000.0,61000000.0,17320000.0,,14500000.0,36000000.0,96000000.0,,,59238000.0,,,,1000000,,14200000.0,-13000000.0,-12000000.0,,17000000.0,,-1000000.0,8600000.0,,,27270000.0,,,2105000000.0,15000000,,9200000.0,-22104000.0,,62000000,,2500000.0,4800000.0,-36276000,,,,,487000000.0,-4035000.0,16800000.0,70000000.0,,118400000.0,5519000.0,,124000000.0,-22104000.0,20524000.0,,,35000000.0,33970000.0,53000000,,12000000.0,,14100000.0,,12000000.0,-4035000.0,36000000.0,3000000,12000000.0,1647000.0,53000000,,18000000.0,,11000000,28700000.0,9000000.0
investments,-1000000,118000000.0,25758000.0,-356721000.0,183000000,-3533000000.0,-11158000000.0,-808100000.0,,-635000000.0,-66652000.0,1434000,,-1675000000,-3888000000.0,,-702073000.0,-37567000.0,-11100000.0,-1000000,,-410000000,113576000.0,-468000000.0,,-83904000.0,-3766000000.0,-130200000.0,-4368000000.0,-2636000000.0,-13460000000.0,7304000000.0,,-3193000000.0,,,240000000,-17000000.0,32300000.0,,-359000000.0,,-124800000.0,649000000.0,,15100000.0,1506000.0,1024098000.0,,-9417000000.0,-732556000.0,-60187000000.0,-300000000,366000000.0,,,,183000000,-343890000.0,,-3659100000.0,-61526000,-5300000.0,-31000000.0,-31990000.0,243500000.0,,-292500000.0,,302000000.0,-5278000000.0,,,-6957000.0,,,,,1869000000.0,225800000.0,,-2174000000,30063000.0,,94000000.0,,-4075000000.0,39000000.0,-292500000.0,-4368000000.0,-376000000,,-7100000.0,-2174000000,-559300000.0,-5000000.0,-767444000.0,-203000000,7000000.0,-112000000.0
netBorrowings,110000000,1421000000.0,822156000.0,163969000.0,-11000000,767000000.0,-602000000.0,-74200000.0,90952000.0,894000000.0,1409897000.0,243751000,735000000.0,-7876000000,-69200000.0,-1247300000.0,100051000.0,,-104600000.0,110000000,,-1280100000,201772000.0,6632000000.0,703000000.0,6540000.0,3996000000.0,1179200000.0,820000000.0,-17007000000.0,499000000.0,-7693000000.0,-1060000000.0,71000000.0,85000000.0,,-598000000,579000000.0,-260000000.0,565000000.0,753000000.0,-332000000.0,,1040000000.0,-125000000.0,1243900000.0,202497000.0,287257000.0,397452000.0,-23207000000.0,37075000.0,19495000000.0,345000000,-770000000.0,1059000000.0,729870000.0,1094800000.0,-11000000,18565000.0,547800000.0,4750700000.0,6729301000,968300000.0,916000000.0,-34868000.0,,-1437000000.0,-434000.0,-321600000.0,71000000.0,4962000000.0,-11700000.0,1524085000.0,935757000.0,3298000000.0,729870000.0,-97500000.0,460200000.0,-812000000.0,-641600000.0,-71671000.0,-1005000000,-372246000.0,1523000000.0,-285000000.0,1265500000.0,,-1153000000.0,-434000.0,820000000.0,848000000,481000000.0,-102006000.0,-1005000000,,1594000000.0,1172912000.0,-789000000,58700000.0,656000000.0
netIncome,684000000,4240000000.0,292633000.0,521759000.0,-155000000,1525000000.0,7863000000.0,255400000.0,61894000.0,1263000000.0,-564503000.0,295665000,1907000000.0,-855000000,2310400000.0,1813800000.0,1361112000.0,108263000.0,439900000.0,684000000,489345000.0,3000400000,146130000.0,-337000000.0,1340000000.0,971638000.0,592000000.0,-107200000.0,1795000000.0,24441000000.0,614000000.0,292000000.0,971772000.0,1979000000.0,2912000000.0,2002000000.0,6622000000,529000000.0,689500000.0,669000000.0,5089000000.0,1046000000.0,306200000.0,2194000000.0,701000000.0,400600000.0,315774000.0,512381000.0,183821000.0,22183000000.0,1198511000.0,18232000000.0,2952000000,5247000000.0,-422200000.0,1142503000.0,1133804000.0,-155000000,328379000.0,2134400000.0,788700000.0,1772262000,128500000.0,772000000.0,603454000.0,4063400000.0,9862000000.0,424858000.0,579000000.0,-3131000000.0,2394000000.0,1302600000.0,596887000.0,664112000.0,8630000000.0,1142503000.0,107223000.0,-228000000.0,3047000000.0,1696700000.0,2652000.0,21308000000,273744000.0,285000000.0,1372000000.0,743400000.0,2079000000.0,367000000.0,424858000.0,1795000000.0,-1161000000,864000000.0,752303000.0,21308000000,817300000.0,1346000000.0,176077000.0,2606000000,140900000.0,1164000000.0
otherCashflowsFromFinancingActivities,-14000000,,-9473000.0,,-2000000,,1644000000.0,-44400000.0,-56800000.0,-2175000000.0,-6872000.0,-17078000,-87000000.0,-112000000,296400000.0,86100000.0,10582000.0,-159226000.0,,-14000000,,-41300000,,-122000000.0,-90000000.0,-12057000.0,-614000000.0,247600000.0,-166000000.0,56052000000.0,11024000000.0,-79000000.0,51000.0,-140000000.0,-103000000.0,-212000000.0,-72000000,-40000000.0,-20800000.0,,-511000000.0,-4000000.0,16900000.0,-716000000.0,,,-7213000.0,-63041000.0,59129000.0,29386000000.0,-301688000.0,48214000000.0,-63000000,-1172000000.0,-1200000.0,,-156000.0,-2000000,,-17700000.0,-29300000.0,-39761000,,-27000000.0,-12321000.0,-28500000.0,-3320000000.0,,-95600000.0,329000000.0,-2827000000.0,-27700000.0,,,-211000000.0,,-10748000.0,-250800000.0,-621000000.0,-34400000.0,-12946000.0,-233000000,-24065000.0,-1498000000.0,,-18300000.0,3247000000.0,,,-166000000.0,-231000000,-7000000.0,,-233000000,345800000.0,,-12420000.0,-24000000,-3100000.0,-16000000.0
otherCashflowsFromInvestingActivities,-128000000,-21000000.0,-1236041000.0,547000.0,-404000000,-170000000.0,-776000000.0,3200000.0,-17505000.0,-150000000.0,-74813000.0,-172391000,102000000.0,14028000000,,-17800000.0,537431000.0,,-181200000.0,-128000000,83331000.0,32000000,223639000.0,-30000000.0,1790000000.0,-250799000.0,16000000.0,282500000.0,-323000000.0,,29000000.0,192000000.0,-160824000.0,-167000000.0,-363000000.0,30000000.0,-1254000000,-56000000.0,,-310000000.0,-2444000000.0,16000000.0,-33000000.0,-4000000.0,26000000.0,-1414100000.0,382775000.0,-25937000.0,-256317000.0,4253000000.0,,8180000000.0,-75000000,-706000000.0,-731300000.0,-2898083000.0,1717000.0,-404000000,196520000.0,504500000.0,-404000000.0,-8763069000,-107400000.0,6000000.0,384583000.0,18300000.0,991000000.0,-6119000.0,-40300000.0,-1494000000.0,-31000000.0,-153400000.0,-215990000.0,-23014000.0,-331000000.0,-2898083000.0,3686000.0,-15400000.0,2000000.0,-14000000.0,238202000.0,-611000000,221642000.0,-1000000.0,1166000000.0,-1258400000.0,-113000000.0,26000000.0,-6119000.0,-323000000.0,-196000000,-46000000.0,-36915000.0,-611000000,229000000.0,-1811000000.0,112161000.0,58000000,-205200000.0,-1512000000.0
salePurchaseOfStock,-128000000,-2734000000.0,14170000.0,-453910000.0,-401000000,394000000.0,-1004000000.0,42000000.0,-400017000.0,-1275000000.0,-82169000.0,-57740000,-1582000000.0,-3063000000,-71200000.0,145500000.0,62189000.0,,-102100000.0,-128000000,-273166000.0,68400000,-220450000.0,-559000000.0,-1960000000.0,,-451000000.0,,-862000000.0,-15410000000.0,-62000000.0,-440000000.0,32685000.0,-3160000000.0,-1395000000.0,-1930000000.0,-4032000000,,-511800000.0,-571000000.0,107000000.0,,-661300000.0,-1605000000.0,-108000000.0,-24100000.0,-327815000.0,-426800000.0,538636000.0,-7990000000.0,240213000.0,-12814000000.0,-620000000,206000000.0,-13500000.0,-1681316000.0,-2126768000.0,-401000000,-2793000.0,-647600000.0,-535300000.0,143579000,329500000.0,-374000000.0,35414000.0,36700000.0,-8304000000.0,-242120000.0,-287000000.0,-1038000000.0,-1505000000.0,-947000000.0,-368644000.0,-506050000.0,-7745000000.0,-1681316000.0,58241000.0,5400000.0,-770000000.0,161200000.0,,-4138000000,-23480000.0,,-3007000000.0,-357900000.0,-679000000.0,1000000.0,-242120000.0,-862000000.0,167000000,-519000000.0,-354147000.0,-4138000000,-166200000.0,-53000000.0,-263230000.0,-552000000,-200000.0,-216000000.0
totalCashFromFinancingActivities,-202000000,-1942000000.0,782236000.0,-541803000.0,-722000000,357000000.0,-1258000000.0,-415300000.0,-585768000.0,-2966000000.0,688232000.0,-42558000,-681000000.0,-12356000000,-384000000.0,-1210500000.0,-671327000.0,-159226000.0,-362500000.0,-202000000,-424565000.0,-2040900000,-566269000.0,5951000000.0,-1795000000.0,-6995000.0,2802000000.0,1200800000.0,4084000000.0,14642000000.0,11436000000.0,-8388000000.0,-1170017000.0,-6594000000.0,-2399000000.0,-4305000000.0,-6751000000,102000000.0,-1189700000.0,-285000000.0,349000000.0,-352000000.0,-794800000.0,-1786000000.0,-645000000.0,1099700000.0,-393301000.0,-555637000.0,540425000.0,-10920000000.0,-24400000.0,49195000000.0,-1281000000,-3001000000.0,595200000.0,-1619709000.0,-1039714000.0,-722000000,-397864000.0,-130200000.0,4004900000.0,6514090000,1068700000.0,-46000000.0,-789818000.0,-1985300000.0,-19875000000.0,-323431000.0,-1004900000.0,-979000000.0,-549000000.0,-1432500000.0,-1443682000.0,413446000.0,-8870000000.0,-1619709000.0,-132612000.0,205300000.0,-2544000000.0,-956000000.0,-185353000.0,-13035000000,-539149000.0,25000000.0,-3931000000.0,698900000.0,2306000000.0,-1564000000.0,-323431000.0,4084000000.0,43000000,-251000000.0,-519153000.0,-13035000000,-482700000.0,1497000000.0,568948000.0,-2452000000,-18800000.0,201000000.0
totalCashFromOperatingActivities,889000000,3640000000.0,288453000.0,1005061000.0,1346000000,3367000000.0,13445000000.0,1419600000.0,655718000.0,2281000000.0,2998699000.0,390756000,3413000000.0,7077000000,4188000000.0,1582300000.0,1442180000.0,303059000.0,1180300000.0,889000000,488639000.0,2534100000,386389000.0,1629000000.0,1030000000.0,1193595000.0,928000000.0,935500000.0,2531000000.0,-2501000000.0,1121000000.0,1157000000.0,1234482000.0,11177000000.0,3879000000.0,6476000000.0,8007000000,2104000000.0,1170400000.0,639000000.0,8153000000.0,1097000000.0,1260100000.0,1494000000.0,868000000.0,374400000.0,394139000.0,820027000.0,720968000.0,18722000000.0,1307112000.0,10403000000.0,3785000000,5079000000.0,757500000.0,2176425000.0,1403687000.0,1346000000,658513000.0,727300000.0,2609600000.0,1883968000,742200000.0,1916000000.0,1265788000.0,1840400000.0,28337000000.0,859689000.0,881800000.0,2186000000.0,4635000000.0,1523500000.0,788733000.0,-80550000.0,12031000000.0,2176425000.0,308252000.0,797400000.0,3502000000.0,1135400000.0,311066000.0,16470000000,386211000.0,389000000.0,2436000000.0,681500000.0,788000000.0,1631000000.0,859689000.0,2531000000.0,2489000000,1346000000.0,1182581000.0,16470000000,960400000.0,2230000000.0,471146000.0,5322000000,286500000.0,2590000000.0
totalCashflowsFromInvestingActivities,-305000000,-1008000000.0,-1249372000.0,-562468000.0,-448000000,-3703000000.0,-11934000000.0,-1011700000.0,-104513000.0,-785000000.0,-3850048000.0,-299930000,-2707000000.0,7762000000,-4052800000.0,-510800000.0,-976517000.0,-121380000.0,-752300000.0,-305000000,-11685000.0,-1417700000,176872000.0,-633000000.0,1472000000.0,-1240701000.0,-3919000000.0,-667800000.0,-5358000000.0,-10283000000.0,-13576000000.0,7496000000.0,-209576000.0,-4024000000.0,-791000000.0,-1147000000.0,-2932000000,-2205000000.0,13800000.0,-422000000.0,-7537000000.0,-1252000000.0,-309000000.0,414000000.0,-205000000.0,-1436500000.0,14704000.0,948243000.0,-599448000.0,-5164000000.0,-1005182000.0,-52007000000.0,-752000000,-996000000.0,-1163600000.0,-3584461000.0,-464223000.0,-448000000,-283435000.0,318400000.0,-4288500000.0,-9047362000,-1808500000.0,-459000000.0,-594296000.0,179900000.0,-9060000000.0,-674412000.0,-196200000.0,-1442000000.0,-5309000000.0,-374700000.0,-287003000.0,-326787000.0,-2228000000.0,-3584461000.0,-38423000.0,-982100000.0,1278000000.0,52000000.0,176600000.0,-4741000000,174819000.0,-189000000.0,1020000000.0,-1303400000.0,-4188000000.0,-408000000.0,-674412000.0,-5358000000.0,-2749000000,-270000000.0,-624399000.0,-4741000000,-424600000.0,-3705000000.0,-1007980000.0,-3089000000,-206600000.0,-2655000000.0
