Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means
10/31/80,"38,923","55,843","16,921",n/a,n/a,n/a
11/30/80,"39,175","48,083","8,907",n/a,n/a,n/a
12/31/80,"48,904","50,869","1,965",n/a,n/a,n/a
01/31/81,"51,147","63,339","12,192",n/a,n/a,n/a
02/28/81,"38,129","53,749","15,620",n/a,n/a,n/a
03/31/81,"44,357","53,938","9,582",n/a,n/a,n/a
04/30/81,"74,188","56,999","-17,190",n/a,n/a,n/a
05/31/81,"38,243","54,414","16,171",n/a,n/a,n/a
06/30/81,"70,429","55,066","-15,363",n/a,n/a,n/a
07/31/81,"47,829","58,172","10,343",n/a,n/a,n/a
08/31/81,"47,669","52,788","5,119",n/a,n/a,n/a
09/30/81,"60,279","53,944","-6,335",n/a,n/a,n/a
10/31/81,"45,467","63,573","18,105",n/a,n/a,n/a
11/30/81,"44,317","54,959","10,642",n/a,n/a,n/a
12/31/81,"57,407","76,875","19,468",n/a,n/a,n/a
01/31/82,"55,269","45,930","-9,339",n/a,n/a,n/a
02/28/82,"43,042","57,822","14,780",n/a,n/a,n/a
03/31/82,"45,291","63,546","18,255",n/a,n/a,n/a
04/30/82,"75,777","66,073","-9,704",n/a,n/a,n/a
05/31/82,"36,753","55,683","18,930",n/a,n/a,n/a
06/30/82,"66,353","59,629","-6,724",n/a,n/a,n/a
07/31/82,"44,675","64,506","19,831",n/a,n/a,n/a
08/31/82,"44,924","59,628","14,704",n/a,n/a,n/a
09/30/82,"59,694","61,403","1,708",n/a,n/a,n/a
10/31/82,"40,539","66,708","26,169",n/a,n/a,n/a
11/30/82,"42,007","66,166","24,158",n/a,n/a,n/a
12/31/82,"54,498","72,436","17,938",n/a,n/a,n/a
01/31/83,"57,505","67,087","9,582",n/a,n/a,n/a
02/28/83,"38,816","64,152","25,336",n/a,n/a,n/a
03/31/83,"43,504","69,540","26,036",n/a,n/a,n/a
04/30/83,"66,234","69,542","3,308",n/a,n/a,n/a
05/31/83,"33,755","63,040","29,285",n/a,n/a,n/a
06/30/83,"66,517","63,116","-3,401",n/a,n/a,n/a
07/31/83,"43,948","65,360","21,412",n/a,n/a,n/a
08/31/83,"49,683","67,160","17,477",n/a,n/a,n/a
09/30/83,"63,556","61,610","-1,946",n/a,n/a,n/a
10/31/83,"45,157","70,226","25,069",n/a,n/a,n/a
11/30/83,"46,202","67,794","21,591",n/a,n/a,n/a
12/31/83,"58,044","74,705","16,661",n/a,n/a,n/a
01/31/84,"62,537","68,052","5,515",n/a,n/a,n/a
02/28/84,"47,886","68,267","20,381",n/a,n/a,n/a
03/31/84,"44,464","73,020","28,555",n/a,n/a,n/a
04/30/84,"80,180","68,687","-11,493",n/a,n/a,n/a
05/31/84,"37,459","71,391","33,932",n/a,n/a,n/a
06/30/84,"69,282","71,283","2,000",n/a,n/a,n/a
07/31/84,"52,017","68,432","16,416",n/a,n/a,n/a
08/31/84,"55,209","88,707","33,498",n/a,n/a,n/a
09/30/84,"68,019","51,234","-16,785",n/a,n/a,n/a
10/31/84,"52,251","80,260","28,009",n/a,n/a,n/a
11/30/84,"51,494","80,390","28,896",n/a,n/a,n/a
12/31/84,"62,404","76,971","14,568",n/a,n/a,n/a
01/31/85,"70,454","78,446","7,992",n/a,n/a,n/a
02/28/85,"54,049","75,101","21,053",n/a,n/a,n/a
03/31/85,"49,613","79,115","29,502",n/a,n/a,n/a
04/30/85,"94,599","83,214","-11,386",n/a,n/a,n/a
05/31/85,"39,794","81,791","41,997",n/a,n/a,n/a
06/30/85,"72,151","73,559","1,408",n/a,n/a,n/a
07/31/85,"57,650","79,183","21,533",n/a,n/a,n/a
08/31/85,"55,781","83,378","27,597",n/a,n/a,n/a
09/30/85,"r73,811","r74,575",r764,n/a,n/a,n/a
10/31/85,"57,886","84,973","27,087",n/a,n/a,n/a
11/30/85,"51,166","84,551","33,386",n/a,n/a,n/a
12/31/85,"68,196","82,853","14,656",n/a,n/a,n/a
01/31/86,"76,698","83,189","6,492",n/a,n/a,n/a
02/28/86,"53,370","77,950","24,580",n/a,n/a,n/a
03/31/86,"49,557","79,700","30,142",n/a,n/a,n/a
04/30/86,"91,438","81,510","-9,928",n/a,n/a,n/a
05/31/86,"46,246","85,642","39,396",n/a,n/a,n/a
06/30/86,"77,024","78,067","1,044",n/a,n/a,n/a
07/31/86,"62,974","85,278","22,304",n/a,n/a,n/a
08/31/86,"56,523","84,579","28,056",n/a,n/a,n/a
09/30/86,"78,013","81,939","3,926",n/a,n/a,n/a
10/31/86,"59,012","84,302","25,290",n/a,n/a,n/a
11/30/86,"52,967","80,054","27,087",n/a,n/a,n/a
12/31/86,"78,035","90,404","12,369",n/a,n/a,n/a
01/31/87,"81,771","83,928","2,157",n/a,n/a,n/a
02/28/87,"55,463","83,842","28,379",n/a,n/a,n/a
03/31/87,"56,515","84,446","27,931",n/a,n/a,n/a
04/30/87,"122,897","84,155","-38,742",n/a,n/a,n/a
05/31/87,"47,691","83,328","35,637",n/a,n/a,n/a
06/30/87,"82,945","83,568",623,n/a,n/a,n/a
07/31/87,"64,223","86,562","22,339",n/a,n/a,n/a
08/31/87,"60,213","82,009","21,796",n/a,n/a,n/a
09/30/87,"92,410","77,206","-15,204",n/a,n/a,n/a
10/31/87,"62,295","93,105","30,810",n/a,n/a,n/a
11/30/87,"56,915","83,937","27,022",n/a,n/a,n/a
12/31/87,"85,469","109,833","24,363",n/a,n/a,n/a
01/31/88,"81,740","65,844","-15,896",n/a,n/a,n/a
02/28/88,"60,279","84,344","24,065",n/a,n/a,n/a
03/31/88,"65,664","94,947","29,283",n/a,n/a,n/a
04/30/88,"109,266","95,497","-13,769",n/a,n/a,n/a
05/31/88,"59,635","82,218","22,583",n/a,n/a,n/a
06/30/88,"r99,140","r90,006","r-9,134",n/a,n/a,n/a
07/31/88,"60,631","83,549","22,918",n/a,n/a,n/a
08/31/88,"69,390","92,468","23,079",n/a,n/a,n/a
09/30/88,"97,742","87,569","-10,173",n/a,n/a,n/a
10/31/88,"63,582","90,587","27,005",n/a,n/a,n/a
11/30/88,"64,330","93,470","29,140",n/a,n/a,n/a
12/31/88,"93,655","106,446","12,790",n/a,n/a,n/a
01/31/89,"89,306","86,509","-2,797",n/a,n/a,n/a
02/28/89,"61,897","89,769","27,871",n/a,n/a,n/a
03/31/89,"68,205","103,988","35,784",n/a,n/a,n/a
04/30/89,"128,892","88,237","-40,654",n/a,n/a,n/a
05/31/89,"71,025","96,458","25,433",n/a,n/a,n/a
06/30/89,"108,249","100,464","-7,785",n/a,n/a,n/a
07/31/89,"66,191","84,428","18,237",n/a,n/a,n/a
08/31/89,"76,136","98,286","22,150",n/a,n/a,n/a
09/30/89,"99,233","105,378","6,146",n/a,n/a,n/a
10/31/89,"68,420","94,503","26,084",n/a,n/a,n/a
11/30/89,"71,174","100,906","29,732",n/a,n/a,n/a
12/31/89,"89,122","103,893","14,772",n/a,n/a,n/a
01/31/90,"99,524","91,242","-8,282",n/a,n/a,n/a
02/28/90,"65,141","100,348","35,207",n/a,n/a,n/a
03/31/90,"64,805","118,128","53,324",n/a,n/a,n/a
04/30/90,"139,604","97,775","-41,829",n/a,n/a,n/a
05/31/90,"69,186","111,668","42,482",n/a,n/a,n/a
06/30/90,"110,601","121,706","11,105",n/a,n/a,n/a
07/31/90,"72,329","98,253","25,924",n/a,n/a,n/a
08/31/90,"78,462","131,181","52,719",n/a,n/a,n/a
09/30/90,"102,939","82,171","-20,768",n/a,n/a,n/a
10/31/90,"76,986","108,350","31,364",n/a,n/a,n/a
11/30/90,"70,507","118,230","47,723",n/a,n/a,n/a
12/31/90,"101,900","109,287","7,387",n/a,n/a,n/a
01/31/91,"100,713","99,062","-1,650",n/a,n/a,n/a
02/28/91,"67,657","93,848","26,191",n/a,n/a,n/a
03/31/91,"64,805","105,978","41,173",n/a,n/a,n/a
04/30/91,"140,380","110,371","-30,009",n/a,n/a,n/a
05/31/91,"63,560","116,926","53,367",n/a,n/a,n/a
06/30/91,"103,389","105,968","2,579",n/a,n/a,n/a
07/31/91,"78,593","119,424","40,831",n/a,n/a,n/a
08/31/91,"76,426","120,075","43,649",n/a,n/a,n/a
09/30/91,"109,350","116,237","6,887",n/a,n/a,n/a
10/31/91,"78,065","114,659","36,594",n/a,n/a,n/a
11/30/91,"73,095","117,779","44,684",n/a,n/a,n/a
12/31/91,"103,636","106,170","2,534",n/a,n/a,n/a
01/31/92,"104,031","119,699","15,668",n/a,n/a,n/a
02/28/92,"62,747","111,927","49,180",n/a,n/a,n/a
03/31/92,"72,127","122,839","50,712",n/a,n/a,n/a
04/30/92,"138,351","123,748","-14,603",n/a,n/a,n/a
05/31/92,"62,184","108,957","46,773",n/a,n/a,n/a
06/30/92,"120,878","117,096","-3,782",n/a,n/a,n/a
07/31/92,"79,050","122,197","43,147",n/a,n/a,n/a
08/31/92,"78,101","102,843","24,742",n/a,n/a,n/a
09/30/92,"118,189","112,879","-5,310",n/a,n/a,n/a
10/31/92,"76,829","125,620","48,792",n/a,n/a,n/a
11/30/92,"74,629","107,355","32,726",n/a,n/a,n/a
12/31/92,"113,686","152,633","38,947",n/a,n/a,n/a
01/31/93,"112,716","82,899","-29,817",n/a,n/a,n/a
02/28/93,"65,979","114,477","48,498",n/a,n/a,n/a
03/31/93,"83,288","127,263","43,974",n/a,n/a,n/a
04/30/93,"132,017","124,200","-7,817",n/a,n/a,n/a
05/31/93,"70,642","107,605","36,963",n/a,n/a,n/a
06/30/93,"128,570","117,471","-11,099",n/a,n/a,n/a
07/31/93,"80,630","120,207","39,577",n/a,n/a,n/a
08/31/93,"86,737","109,815","23,078",n/a,n/a,n/a
09/30/93,"127,504","118,987","-8,517",n/a,n/a,n/a
10/31/93,"78,662","124,085","45,422",n/a,n/a,n/a
11/30/93,"83,102","121,483","38,381",n/a,n/a,n/a
12/31/93,"125,403","133,108","7,705",n/a,n/a,n/a
01/31/94,"122,961","107,713","-15,248",n/a,n/a,n/a
02/28/94,"73,186","114,752","41,566",n/a,n/a,n/a
03/31/94,"93,107","125,422","32,315",n/a,n/a,n/a
04/30/94,"141,321","123,867","-17,454",n/a,n/a,n/a
05/31/94,"83,541","115,597","32,057",n/a,n/a,n/a
06/30/94,"138,119","123,269","-14,850",n/a,n/a,n/a
07/31/94,"84,822","118,020","33,198",n/a,n/a,n/a
08/31/94,"97,333","121,608","24,275",n/a,n/a,n/a
09/30/94,"135,894","131,628","-4,266",n/a,n/a,n/a
10/31/94,"89,098","120,441","31,343",n/a,n/a,n/a
11/30/94,"r87,748","r124,991","r37,243",n/a,n/a,n/a
12/31/94,"130,886","135,689","4,803",n/a,n/a,n/a
01/31/95,"131,877","116,243","-15,634",n/a,n/a,n/a
02/28/95,"82,620","120,977","38,357",n/a,n/a,n/a
03/31/95,"92,608","143,152","50,544",n/a,n/a,n/a
04/30/95,"165,472","115,751","-49,722",n/a,n/a,n/a
05/31/95,"90,481","130,035","39,555",n/a,n/a,n/a
06/30/95,"147,945","135,131","-12,813",n/a,n/a,n/a
07/31/95,"92,823","106,406","13,582",n/a,n/a,n/a
08/31/95,"96,640","130,489","33,849",n/a,n/a,n/a
09/30/95,"143,298","136,107","-7,191",n/a,n/a,n/a
10/31/95,"95,593","118,352","22,758",n/a,n/a,n/a
11/30/95,"90,086","128,538","38,452",n/a,n/a,n/a
12/31/95,"138,347","133,064","-5,283",n/a,n/a,n/a
01/31/96,"142,999","123,543","-19,456",n/a,n/a,n/a
02/28/96,"89,428","133,775","44,346",n/a,n/a,n/a
03/31/96,"89,087","136,158","47,071",n/a,n/a,n/a
04/30/96,"203,468","131,064","-72,404",n/a,n/a,n/a
05/31/96,"90,122","143,173","53,051",n/a,n/a,n/a
06/30/96,"151,995","117,655","-34,340",n/a,n/a,n/a
07/31/96,"103,893","130,749","26,856",n/a,n/a,n/a
08/31/96,"99,996","141,828","41,831",n/a,n/a,n/a
09/30/96,"157,670","122,412","-35,257",n/a,n/a,n/a
10/31/96,"99,656","139,461","39,805",n/a,n/a,n/a
11/30/96,"97,850","135,728","37,878",n/a,n/a,n/a
12/31/96,"148,488","129,999","-18,490",n/a,n/a,n/a
01/31/97,"150,718","137,354","-13,364",n/a,n/a,n/a
02/28/97,"90,293","134,303","44,010",n/a,n/a,n/a
03/31/97,"108,074","129,397","21,323",n/a,n/a,n/a
04/30/97,"228,588","134,649","-93,939",n/a,n/a,n/a
05/31/97,"94,493","142,988","48,494",n/a,n/a,n/a
06/30/97,"173,361","118,726","-54,635",n/a,n/a,n/a
07/31/97,"109,178","134,802","25,624",n/a,n/a,n/a
08/31/97,"103,483","138,672","35,189",n/a,n/a,n/a
09/30/97,"174,772","r124,832","r-49,940",n/a,n/a,n/a
10/31/97,"114,898","r150,866","r35,968",n/a,n/a,n/a
11/30/97,"103,481","120,830","17,349",n/a,n/a,n/a
12/31/97,"167,998","154,359","-13,639",n/a,n/a,n/a
01/31/98,"162,610","137,231","-25,379",n/a,n/a,n/a
02/28/98,"97,952","139,701","41,750",n/a,n/a,n/a
03/31/98,"117,930","131,743","13,813",n/a,n/a,n/a
04/30/98,"261,002","136,400","-124,603",n/a,n/a,n/a
05/31/98,"95,278","134,057","r38,779",n/a,n/a,n/a
06/30/98,"r187,858","r136,752","-51,106",n/a,n/a,n/a
07/31/98,"119,723","143,807","24,084",n/a,n/a,n/a
08/31/98,"111,741","122,907","11,166",n/a,n/a,n/a
09/30/98,"r180,995","r143,569","r-37,425",n/a,n/a,n/a
10/01/98,"119,974","r152,413","r32,440",n/a,n/a,n/a
11/01/98,"113,978","r130,915","r16,937",n/a,n/a,n/a
12/01/98,"178,646","r183,803","r5,156",n/a,n/a,n/a
01/01/99,"r171,728","r101,223","r-70,505",n/a,n/a,n/a
02/01/99,"r99,502","r141,839","r42,337",n/a,n/a,n/a
03/01/99,"r130,416","r152,825","r22,409",n/a,n/a,n/a
04/01/99,"r266,229","r152,770","-113,459",n/a,n/a,n/a
05/01/99,"r98,663","r122,631","23,969",n/a,n/a,n/a
06/01/99,"r199,507","r145,939","-53,568",n/a,n/a,n/a
07/01/99,"r121,923","r147,086","25,164",n/a,n/a,n/a
08/01/99,r126324,r129127,"r2,803",n/a,n/a,n/a
09/01/99,"r200,413","r142,371","r-58,042",n/a,n/a,n/a
10/01/99,"121,035","r147,361","r26,326",n/a,n/a,n/a
11/01/99,"121,375","r148,406","27,031",n/a,n/a,n/a
12/01/99,"201,196","168,114","-33,081",n/a,n/a,n/a
01/01/00,"189,478","127,326","-62,152",n/a,n/a,n/a
02/01/00,"108,675","150,409","41,734",n/a,n/a,n/a
03/01/00,"135,582","170,962","35,380",n/a,n/a,n/a
04/01/00,"r295,151","r135,653","-159,497",n/a,n/a,n/a
05/01/00,"146,002","149,612","3,611",n/a,n/a,n/a
06/01/00,"214,875","r158,986","-55,888",n/a,n/a,n/a
07/01/00,"134,074","r129,013","-5,061",n/a,n/a,n/a
08/01/00,"138,128","148,555","10,427",n/a,n/a,n/a
09/01/00,"r219,490","r153,743","-65,747",n/a,n/a,n/a
10/01/00,"r135,836","r147,156","11,321",n/a,n/a,n/a
11/01/00,"125,666","149,356","23,690",n/a,n/a,n/a
12/01/00,"200,489","167,823","-32,666",n/a,n/a,n/a
01/01/01,"219,215","142,836","-76,379",n/a,n/a,n/a
02/01/01,"110,481","158,649","48,168",n/a,n/a,n/a
03/01/01,"r130,074","r180,736","50,662",n/a,n/a,n/a
04/01/01,"331,796","141,999","-189,796",n/a,n/a,n/a
05/01/01,"r125,590","r153,508","27,919",n/a,n/a,n/a
06/01/01,"202,887","171,025","-31,862",n/a,n/a,n/a
07/01/01,"127,842","r125,022","-2,820",n/a,n/a,n/a
08/01/01,"122,559","202,549","79,990",n/a,n/a,n/a
09/01/01,"r158,611","r123,110","-35,501",n/a,n/a,n/a
10/01/01,"157,163","r164,819","7,656",n/a,n/a,n/a
11/01/01,"121,233","175,500","54,267",n/a,n/a,n/a
12/01/01,"187,914","161,347","-26,567",n/a,n/a,n/a
01/01/02,"203,452","r159,723","-43,729",n/a,n/a,n/a
02/01/02,"97,962","174,018","76,056",n/a,n/a,n/a
03/01/02,"111,220","175,458","64,238",n/a,n/a,n/a
04/01/02,"237,426","170,257","-67,170",n/a,n/a,n/a
05/01/02,"102,496","183,127","80,631",n/a,n/a,n/a
06/01/02,"182,633","153,562","-29,071",n/a,n/a,n/a
07/01/02,"134,409","163,568","29,159",n/a,n/a,n/a
08/01/02,"124,619","179,328","54,709",n/a,n/a,n/a
09/01/02,"r192,698","r150,310","-42,388",n/a,n/a,n/a
10/01/02,"r124,543","r178,615","54,072",n/a,n/a,n/a
11/01/02,"r120,017","r178,901","58,883",n/a,n/a,n/a
12/01/02,"r182,787","178,069","-4,719",n/a,n/a,n/a
01/01/03,"r187,884","r177,251","-10,633",n/a,n/a,n/a
02/01/03,"r89,477","r186,140","96,663",n/a,n/a,n/a
03/01/03,"r120,358","r179,234","58,877",n/a,n/a,n/a
04/01/03,"r231,160","r180,094","-51,066",n/a,n/a,n/a
05/01/03,"r103,411","r192,278","88,867",n/a,n/a,n/a
